iris_1,iris_2,iris_3,iris_4,len_1,len_2,len_3,error,Goal_Met
7.97015676,5.366200598,4.767022567,4.668240893,8.971631527,10.27526996,10.49682371,8.51316719,Yes
7.97015676,5.366200598,4.767022567,4.668240893,8.971631527,10.27526996,10.49682371,13.99515494,Yes
7.97015676,5.366200598,4.767022567,4.668240893,8.971631527,10.27526996,10.49682371,15.1308899,No
7.970166034,5.366212428,4.767022497,4.668260493,8.972638746,10.27526344,10.49679879,8.492868352,Yes
7.97456354,5.368657651,4.768066427,4.668772823,8.969679587,10.27410913,10.49633414,8.331162681,Yes
7.97456354,5.368657651,4.768066427,4.668772823,8.969679587,10.27410913,10.49633414,8.666955229,Yes
8.029798737,5.399371058,4.781178789,4.675207984,8.932510847,10.25961038,10.49049784,7.17704009,Yes
8.029798737,5.399371058,4.781178789,4.675207984,8.932510847,10.25961038,10.49049784,9.69390742,Yes
8.029798737,5.399371058,4.781178789,4.675207984,8.932510847,10.25961038,10.49049784,8.970582256,Yes
8.029735751,5.399336035,4.781163837,4.675200645,8.932553232,10.25916812,10.4905045,7.157948002,Yes
8.029735751,5.399336035,4.781163837,4.675200645,8.932553232,10.25916812,10.4905045,127.6068871,No
8.029735751,5.399336035,4.781163837,4.675200645,8.932553232,10.25916812,10.4905045,121.1630885,No
8.029609438,5.399265799,4.781133851,4.675185929,8.93263823,10.25918764,10.48961141,7.12463905,Yes
8.029609438,5.399265799,4.781133851,4.675185929,8.93263823,10.25918764,10.48961141,9.092064382,Yes
8.029609438,5.399265799,4.781133851,4.675185929,8.93263823,10.25918764,10.48961141,7.496940371,Yes
8.024046685,5.398934231,4.780992296,4.675116458,8.933039487,10.25927976,10.49036183,6.94673154,Yes
8.024046685,5.398934231,4.780992296,4.675116458,8.933039487,10.25927976,10.49036183,10.29956386,Yes
8.024046685,5.398934231,4.780992296,4.675116458,8.933039487,10.25927976,10.49036183,12.48011656,Yes
8.024163602,5.400936637,4.781043192,4.675141437,8.932895214,10.25924664,10.49009201,6.837910363,Yes
8.024163602,5.400936637,4.781043192,4.675141437,8.932895214,10.25924664,10.49009201,7.189214468,Yes
8.024163602,5.400936637,4.781043192,4.675141437,8.932895214,10.25924664,10.49009201,6.966104078,Yes
8.024107558,5.400900986,4.780094606,4.675129463,8.93296437,10.25926252,10.49022135,6.817363182,Yes
8.024107558,5.400900986,4.780094606,4.675129463,8.93296437,10.25926252,10.49022135,32.47061679,No
8.024107558,5.400900986,4.780094606,4.675129463,8.93296437,10.25926252,10.49022135,39.39922605,No
8.024337131,5.401047027,4.780148764,4.679010085,8.932681082,10.25919747,10.48969155,6.755693121,Yes
8.028473673,5.403707021,4.781151095,4.679830931,8.929629887,10.25797067,10.48914884,6.690413547,Yes
8.028473673,5.403707021,4.781151095,4.679830931,8.929629887,10.25797067,10.48914884,6.829493591,Yes
8.058095934,5.422755547,4.788328902,4.685709107,8.907779926,10.24918535,10.4852624,6.353684475,Yes
8.058095934,5.422755547,4.788328902,4.685709107,8.907779926,10.24918535,10.4852624,7.43651963,Yes
8.058095934,5.422755547,4.788328902,4.685709107,8.907779926,10.24918535,10.4852624,10.82879164,Yes
8.060088602,5.424036928,4.788811748,4.686104527,8.912147618,10.24859437,10.48500097,6.158343222,Yes
8.060088602,5.424036928,4.788811748,4.686104527,8.912147618,10.24859437,10.48500097,18.06521435,No
8.060088602,5.424036928,4.788811748,4.686104527,8.912147618,10.24859437,10.48500097,6.158343222,Yes
